prompt_version,review,actual_stars,predicted_stars,explanation,json_valid,llm_raw_output
v1,"We got here around midnight last Friday... the place was dead. However, they were still serving food and we enjoyed some well made pub grub. Service was friendly, quality cocktails were served, and the atmosphere is derived from an old Uno's, which certainly works for a sports bar. It being located in a somewhat commercial area, I can see why it's empty so late on a Friday. From what my friends tell me - this is a great spot for happy hour, and it stays relatively busy thru 10pm.

*UPDATE - Great patio for day-drinking on the weekends!",4,,,False,
v1,Brought a friend from Louisiana here.  She says that the crawfish etouffee here is the best she's had outside of Louisiana!,5,,,False,
v1,"Every friday, my dad and I eat here. We order the same thing... pizza wraps. they are good and fillng. iced tea hits the spot. Typical strip mall pizza.",3,,,False,
v1,"My husband and I were really, really disappointed with our experience at Coulter Infiniti.  We brought our 2006 G37 with barely 34,000 miles (and out of warranty) to have the moon roof looked at.  The moon roof wouldn't open or close, but you could hear the motor working.

After leaving the car there all day we get a call that the car needs a whole new moon roof track - which would cost over $3000.  We contacted their corporate office to attempt to get some or all of the cost covered, due to the fact that it's a big repair and the car  is barely out of warranty.  We were flat out denied.  Twice.  

We were dreading the big repair, and decided to bring the car to a different auto shop (which will get a big, fat 5 star review) for a second opinion.  Turns out the track just had a BUILD UP OF DIRT AND DEBRIS and needed to be cleaned out.  Seriously?!?!  Just over $100 later we were on our way!

I find it VERY hard to believe that Coulter didn't know this was the problem.  We are now searching for a new SUV, and will not be choosing Infiniti.  How disappointing.",1,,,False,
v1,"Love this place!  Was in phoenix 3 weeks for work.  Ate here 3 times.  The squid salad is amazing!  They also have sushi, bibimbap, and tons of other items.  Must try!",5,,,False,
v1,"This hotel is in a good location for getting to the sports venues downtown, the convention center or to just be in the heart of the city. Granted, it is about a 7 block walk to most of those places, but the lower price and FREE parking definitely make it worthwhile. I usually stay in Scottsdale when i am here for spring training, but I was here for a conference and walked to the convention center each day with no problems. It made sense to be downtown instead of Scottsdale. The hotel is clean, the rooms are nice and big and the free breakfast is decent. I did not visit the pool, so I cannot comment on it. Someone mentioned the area being shady, i walked to and from here at least twice a day including late night and never felt it was a bad area. Also, the review about passing cars was not an issue for me. I was on the street side and I'm a light sleeper. Maybe their window was open?  i do agree that you can hear your neighbors in the bathroom, slightly annoying. In, summary - this hotel is a great choice and if the need arises, I'd stay again.",4,,,False,
v1,"I love that this place has top seafood plates and choices. The services is hit and miss but once i went in with three friends and we sat at the sushi bar and they saw we weren't getting service they grabbed our order right away. Happy hour is good and drinks aren't expensive anyhow so drinkers celebrate! Cherry roll (i do it without sauce), octopus, anything with their eels, i love the quality of salmon as well. The best part is that FOOD IS SERVED TILL 2AM!!",4,,,False,
v1,Awesome if you like ramen...even awesomer if you like boba tea!!!,4,,,False,"{
  ""predicted_stars"": 5,
  ""explanation"": ""The review is extremely positive, using the word 'awesome' twice and expressing excitement about both ramen and boba tea.""
}"
v1,"Great place for a ""home office"" morning. One of my favorite places - indoor & outdoor seating. Always busy - they offer breakfast & lunch, their food is awesome! Very generous portions.",5,,,False,
v1,"1 star for service, but the food is not ok :( they literally put 4 pieces of chicken on my taco. I let that go & figured was a mistake. When I went again, ordered different item & same result. Little to no meat. I will not be going back.",1,,,False,
v1,"Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at all. Highlights: spinach and artichoke dip, onion rings, and tortilla soup. Total tab was only $160 for the whole group.",4,,,False,
v1,"This place is great!
If you talk to anybody they have a suggestion for a great flavor.
You can bring in food from another place to enjoy and just enjoy a great atmosphere.
With the music that someone has an issue with you can just talk to the DJ to get a suggestion they are MORE than accommodating.
They have a great happy hour prices! 
Overall great prices, great people, and a great time! If you have the right mind :)",5,,,False,
v1,Air Jordan! need I say more?,3,,,False,"{
  ""predicted_stars"": 5,
  ""explanation"": ""The exclamation mark and the phrase 'Air Jordan!' indicate strong enthusiasm and excitement, suggesting a perfect 5-star rating.""
}"
